,OCEAN_REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,MONTH,YEAR,SEVERITY_CODE,DAY,datetime,Total
83,Caribbean,Bahamas,Gaulin's Reef,24.17,-74.48,6.0,1998,0,1,1998-06-01,1.989552
84,Caribbean,Bahamas,Gaulin's Reef,24.14,-74.45,6.0,1998,1,1,1998-06-01,1.989552
85,Caribbean,Bahamas,Snapshot Reef,24.04,-74.54,6.0,1998,1,1,1998-06-01,1.989552
86,Caribbean,Bahamas,Gaulin's Reef,24.15,-74.47,6.0,1998,1,1,1998-06-01,1.989552
87,Caribbean,Bahamas,Telephone Pole Reef,24.03,-74.54,6.0,1998,1,1,1998-06-01,1.989552
88,Caribbean,Bahamas,Gaulin's Reef,24.16,-74.48,6.0,1998,1,1,1998-06-01,1.989552
89,Caribbean,Bahamas,Gaulin's Reef,24.16,-74.46,6.0,1998,1,1,1998-06-01,1.989552
93,Caribbean,Bahamas,China Point (S10),24.75133,-77.80767,8.0,1998,2,1,1998-08-01,1.989552
94,Caribbean,Bahamas,South Staniard 2 (D7),24.84383,-77.85733,8.0,1998,2,1,1998-08-01,1.989552
95,Caribbean,Bahamas,Long Rock (D13),24.626,-77.691,8.0,1998,2,1,1998-08-01,1.989552
96,Caribbean,Bahamas,South Staniard 2 (S7),24.84493,-77.86098,8.0,1998,2,1,1998-08-01,1.989552
97,Caribbean,Bahamas,North Bight (S17),24.4395,-77.69807,8.0,1998,1,1,1998-08-01,1.989552
98,Caribbean,Bahamas,AUTEC 2 (D18),24.50643,-77.69697,8.0,1998,2,1,1998-08-01,1.989552
99,Caribbean,Bahamas,Sugar Rock (S15),24.5448,-77.68372,8.0,1998,1,1,1998-08-01,1.989552
100,Caribbean,Bahamas,Mangrove Central (S21),24.29167,-77.6462,8.0,1998,2,1,1998-08-01,1.989552
101,Caribbean,Bahamas,North Love Hill (S8),24.77435,-77.80772,8.0,1998,1,1,1998-08-01,1.989552
102,Caribbean,Bahamas,Mangrove South (S22),24.25315,-77.62917,8.0,1998,1,1,1998-08-01,1.989552
103,Caribbean,Bahamas,Mahore (S5),25.06367,-77.93783,8.0,1998,2,1,1998-08-01,1.989552
104,Caribbean,Bahamas,Congo Town (D24),24.30122,-77.64788,8.0,1998,1,1,1998-08-01,1.989552
105,Caribbean,Bahamas,West Klein (D10),24.745,-77.78467,8.0,1998,1,1,1998-08-01,1.989552
